Gtm,Date,Home,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,Thr,OppStart,pH,pR,pER,pUER,pBB,pSO,pHR,pHBP,pERA,pPit,pStr,pIR,pIS,pSB,pCS,pAB,p2B,p3B,pIBB,pSH,pSF,pROE,pGDP,TmStart
1,2023-03-30,False,ARI,LAD,0,30,28,2,4,1,0,0,2,0,0,8,1,0,1,1,2,0,0,0.143,0.167,0.179,0.345,1,L,J.Urías,12,8,8,0,5,12,1,0,9.0,158,96,6.0,2.0,0,0,34,2,0,0,0,1,0,0,Z.Gallen
2,2023-03-31,False,ARI,LAD,1,35,34,2,7,2,0,1,2,1,0,5,0,0,0,0,0,0,0,0.177,0.2,0.274,0.474,6,R,D.May,5,1,1,0,9,9,1,0,4.76,163,91,4.0,0.0,0,1,31,1,0,0,0,0,0,0,M.Kelly
3,2023-04-01,False,ARI,LAD,0,32,32,1,5,2,0,1,1,0,0,10,0,0,0,1,1,0,0,0.17,0.186,0.287,0.473,4,L,C.Kershaw,8,10,10,0,5,7,4,1,6.84,145,85,0.0,0.0,0,1,30,2,0,0,0,1,0,0,M.Bumgarner
4,2023-04-02,False,ARI,LAD,1,34,33,2,9,2,0,0,2,0,0,6,1,0,0,0,2,4,0,0.197,0.214,0.299,0.513,5,R,N.Syndergaard,4,1,1,0,4,11,1,1,5.29,148,89,2.0,0.0,1,0,31,0,0,0,0,0,0,0,Z.Davies
5,2023-04-03,False,ARI,SDP,0,35,34,4,9,1,0,2,3,1,0,8,0,0,0,0,2,0,0,0.211,0.229,0.335,0.564,4,L,R.Weathers,8,5,5,0,5,6,3,0,5.36,144,85,2.0,0.0,0,0,31,2,0,0,0,0,0,1,R.Nelson
6,2023-04-04,False,ARI,SDP,1,43,31,8,9,2,0,0,7,7,0,5,2,1,2,0,2,5,1,0.224,0.269,0.339,0.608,8,R,Y.Darvish,10,6,5,1,2,6,3,0,5.29,135,84,0.0,0.0,0,0,37,3,0,0,0,0,0,0,Z.Gallen
7,2023-04-06,True,ARI,LAD,0,35,32,2,5,3,1,0,1,3,0,8,0,0,0,0,0,0,0,0.214,0.263,0.335,0.598,6,R,D.May,7,5,3,2,6,8,1,1,4.95,148,87,2.0,0.0,0,0,32,3,0,0,0,0,1,1,M.Kelly
8,2023-04-07,True,ARI,LAD,1,36,33,6,10,3,0,2,6,2,0,5,1,0,0,0,1,1,0,0.226,0.276,0.366,0.642,6,L,C.Kershaw,5,3,2,1,9,10,2,0,4.57,170,88,3.0,0.0,0,0,30,1,0,0,0,1,0,0,M.Bumgarner
9,2023-04-08,True,ARI,LAD,1,42,39,12,17,4,2,2,12,0,0,6,2,0,1,0,0,2,0,0.253,0.299,0.422,0.721,6,R,N.Syndergaard,11,8,8,0,5,9,2,0,4.96,159,100,0.0,0.0,0,0,35,5,0,0,0,1,0,2,Z.Davies
10,2023-04-09,True,ARI,LAD,1,44,40,11,16,4,0,0,11,4,0,10,0,0,0,0,0,5,0,0.271,0.318,0.432,0.749,9,R,M.Grove,7,6,6,0,5,4,0,0,5.07,155,91,0.0,0.0,0,0,33,2,2,0,0,1,0,1,R.Nelson
11,2023-04-10,True,ARI,MIL,1,35,32,3,8,2,0,1,3,3,0,6,0,0,0,0,1,0,0,0.269,0.318,0.429,0.747,8,L,W.Miley,3,0,0,0,1,15,0,0,4.59,126,80,0.0,0.0,0,1,28,0,0,0,0,0,0,1,Z.Gallen
12,2023-04-11,True,ARI,MIL,0,31,30,1,4,0,0,0,1,1,0,8,0,0,0,0,1,0,0,0.259,0.306,0.407,0.713,3,R,C.Burnes,8,7,7,0,5,9,3,1,4.8,154,94,3.0,2.0,1,1,32,1,0,0,0,0,0,2,M.Kelly
13,2023-04-12,True,ARI,MIL,1,39,36,7,12,5,0,2,7,2,0,3,0,0,0,1,0,0,0,0.265,0.311,0.426,0.738,8,R,J.Junk,11,3,3,0,3,9,0,0,4.66,148,97,5.0,2.0,0,0,36,1,0,0,0,0,0,2,D.Jameson
14,2023-04-14,False,ARI,MIA,0,34,33,1,6,0,0,0,1,1,0,8,0,0,0,0,0,1,0,0.259,0.304,0.409,0.713,6,L,T.Rogers,11,5,5,0,1,2,0,1,4.72,116,76,0.0,0.0,1,0,34,2,0,0,0,0,0,0,M.Bumgarner
15,2023-04-15,False,ARI,MIA,0,36,31,2,6,2,0,0,2,3,0,8,1,0,1,0,1,0,0,0.255,0.302,0.4,0.702,7,L,B.Garrett,9,3,3,0,0,5,1,0,4.64,117,81,2.0,1.0,0,0,30,1,0,0,0,0,0,2,R.Nelson
16,2023-04-16,False,ARI,MIA,1,34,33,5,7,2,0,1,5,0,0,11,0,1,0,2,1,0,0,0.252,0.297,0.397,0.695,2,R,S.Alcántara,4,0,0,0,1,8,0,1,4.34,120,77,1.0,0.0,0,0,29,1,0,0,0,0,0,2,Z.Gallen
17,2023-04-17,False,ARI,STL,1,33,29,6,5,2,0,2,6,4,0,9,0,0,0,0,2,0,1,0.248,0.296,0.4,0.696,0,R,J.Flaherty,6,3,3,0,0,7,1,2,4.26,125,84,0.0,0.0,1,0,31,2,0,0,0,0,0,2,M.Kelly
18,2023-04-18,False,ARI,STL,1,41,40,8,14,3,1,1,8,1,0,7,0,0,0,0,1,0,0,0.255,0.3,0.41,0.71,6,L,J.Montgomery,8,7,7,0,8,9,3,0,4.41,162,96,2.0,0.0,0,0,35,3,0,0,0,0,0,0,D.Jameson
19,2023-04-19,False,ARI,STL,0,41,37,5,11,3,0,2,5,3,0,10,0,0,1,0,0,1,0,0.257,0.303,0.418,0.72,9,R,J.Woodford,13,14,14,0,9,6,2,0,4.96,178,102,0.0,0.0,3,0,36,4,1,0,0,0,0,0,M.Bumgarner
20,2023-04-20,True,ARI,SDP,0,40,39,5,12,3,1,0,4,1,0,8,0,0,0,0,0,0,0,0.26,0.304,0.419,0.723,8,R,M.Wacha,7,7,5,2,4,9,2,0,4.97,155,95,2.0,0.0,0,1,34,3,0,0,0,0,1,0,R.Nelson
21,2023-04-21,True,ARI,SDP,1,39,36,9,12,3,0,0,9,3,0,9,0,0,0,0,0,0,0,0.264,0.308,0.419,0.727,6,R,S.Lugo,2,0,0,0,0,13,0,0,4.72,124,86,0.0,0.0,0,0,29,1,0,0,0,0,0,0,Z.Gallen
22,2023-04-22,True,ARI,SDP,0,36,35,3,9,1,0,1,3,0,0,7,1,0,0,0,1,1,0,0.264,0.307,0.416,0.723,6,R,J.Musgrove,6,5,5,0,6,11,1,0,4.73,146,90,4.0,3.0,0,0,32,1,0,0,0,0,0,1,M.Kelly
23,2023-04-23,True,ARI,SDP,0,37,31,5,6,1,1,3,5,5,0,8,0,0,1,0,1,1,0,0.261,0.306,0.423,0.729,5,R,Y.Darvish,8,7,7,0,6,7,1,0,4.84,173,98,1.0,1.0,0,0,32,3,1,0,0,2,0,1,D.Jameson
24,2023-04-24,True,ARI,KCR,1,37,28,5,7,1,0,0,5,8,0,6,0,0,1,0,2,0,1,0.261,0.311,0.418,0.729,8,R,B.Keller,10,4,4,0,5,6,1,0,4.8,161,95,2.0,2.0,0,1,36,2,0,0,0,0,0,0,T.Henry
25,2023-04-25,True,ARI,KCR,0,40,36,4,10,3,1,0,3,3,0,9,0,0,1,0,0,3,0,0.261,0.311,0.418,0.729,9,R,B.Singer,14,5,5,0,1,4,0,1,4.81,145,94,0.0,0.0,0,1,37,4,1,0,0,1,0,2,R.Nelson
26,2023-04-26,True,ARI,KCR,1,32,27,2,6,0,0,0,2,2,0,9,2,1,0,0,1,0,1,0.26,0.312,0.412,0.723,6,L,R.Yarbrough,5,0,0,0,1,13,0,0,4.62,137,89,1.0,0.0,0,0,33,0,0,0,0,0,1,0,Z.Gallen
27,2023-04-28,False,ARI,COL,1,41,34,9,10,2,0,1,9,4,0,4,0,1,2,0,1,1,0,0.261,0.313,0.413,0.726,5,L,K.Freeland,7,1,1,0,1,8,0,0,4.48,137,98,0.0,0.0,0,0,33,0,0,0,0,0,0,1,M.Kelly
28,2023-04-29,False,ARI,COL,1,44,42,11,16,5,0,2,11,2,0,10,0,0,0,0,0,0,1,0.267,0.317,0.423,0.74,6,R,N.Davis,8,4,4,0,2,7,0,0,4.46,128,82,1.0,1.0,1,0,34,3,1,0,0,0,0,0,T.Henry
29,2023-04-30,False,ARI,COL,0,37,33,4,7,3,0,1,4,4,0,7,0,0,0,0,1,0,0,0.265,0.316,0.422,0.739,6,L,A.Gomber,16,12,12,0,3,4,1,0,4.75,141,97,2.0,0.0,0,0,38,7,0,0,0,1,0,1,R.Nelson
30,2023-05-02,False,ARI,TEX,0,40,35,4,9,0,0,2,4,4,0,4,0,0,1,0,0,0,0,0.265,0.317,0.423,0.739,9,R,J.Gray,10,6,6,0,2,9,1,0,4.81,157,97,2.0,1.0,0,0,32,2,0,0,1,0,0,1,Z.Gallen
31,2023-05-03,False,ARI,TEX,1,44,36,12,10,1,0,4,12,7,0,8,0,0,1,0,0,1,0,0.265,0.319,0.43,0.749,5,L,A.Heaney,12,7,7,0,3,10,4,0,4.88,163,102,2.0,0.0,0,1,38,2,0,0,0,1,1,0,B.Pfaadt
32,2023-05-05,True,ARI,WSN,1,34,30,3,7,1,0,1,3,3,0,8,0,0,1,0,0,0,1,0.264,0.319,0.428,0.747,7,R,J.Gray,4,1,1,0,1,12,1,0,4.76,118,81,0.0,0.0,1,0,30,0,0,0,0,0,0,1,M.Kelly
33,2023-05-06,True,ARI,WSN,1,44,37,8,16,0,1,2,7,4,1,9,0,3,0,1,2,0,0,0.27,0.324,0.435,0.76,11,L,M.Gore,11,7,7,0,3,8,2,0,4.83,134,90,2.0,1.0,1,1,36,2,0,0,0,0,0,0,T.Henry
34,2023-05-07,True,ARI,WSN,0,46,35,8,9,2,1,3,7,11,0,7,0,0,0,0,0,3,1,0.269,0.328,0.441,0.77,11,R,T.Williams,16,9,7,2,3,6,1,0,4.89,171,102,2.0,0.0,0,0,39,2,0,0,1,0,1,2,R.Nelson
35,2023-05-08,True,ARI,MIA,1,39,37,5,13,3,0,1,5,2,0,8,0,0,0,0,0,1,0,0.272,0.33,0.444,0.774,10,L,B.Garrett,9,2,2,0,1,8,0,0,4.81,123,85,1.0,1.0,0,0,35,3,0,0,0,0,0,1,Z.Gallen
