date,home_team_abbr,away_team_abbr,home_ml,away_ml
2023-03-31,MIA,NYM,-110,-106
2023-04-01,HOU,CHW,-140,110
2023-04-01,SDP,COL,-198,166
2023-04-01,LAD,ARI,-196,164
2023-04-01,SEA,CLE,-168,142
2023-04-01,HOU,CHW,-142,120
2023-04-01,STL,TOR,114,-134
2023-04-01,CHC,MIL,-104,-122
2023-04-01,NYY,SFG,-144,122
2023-04-01,TEX,PHI,100,-128
2023-04-01,WSN,ATL,210,-255
2023-04-01,OAK,LAA,144,-172
2023-04-01,BOS,BAL,-156,132
2023-04-01,CIN,PIT,-146,124
2023-04-01,TBR,DET,-184,154
2023-04-01,KCR,MIN,136,-162
2023-04-01,MIA,NYM,-112,-104
2023-04-02,SDP,COL,-255,210
2023-04-02,LAD,ARI,-275,225
2023-04-02,SEA,CLE,-138,118
2023-04-04,SDP,ARI,-154,130
2023-04-04,CIN,CHC,114,-134
2023-04-04,MIA,MIN,-156,132
2023-04-04,NYY,PHI,-162,136
2023-04-04,WSN,TBR,148,-176
2023-04-04,BOS,PIT,-152,128
2023-04-04,KCR,TOR,148,-176
2023-04-04,MIL,NYM,128,-152
2023-04-04,STL,ATL,-138,118
2023-04-05,TEX,BAL,-144,122
2023-04-05,HOU,DET,-340,240
2023-04-05,OAK,CLE,164,-196
2023-04-05,SEA,LAA,-178,150
2023-04-05,LAD,COL,-255,210
2023-04-02,TBR,DET,-290,235
2023-04-02,NYY,SFG,-134,116
2023-04-02,WSN,ATL,150,-178
2023-04-02,BOS,BAL,-138,118
2023-04-02,CIN,PIT,-130,110
2023-04-02,MIA,NYM,102,-120
2023-04-02,KCR,MIN,126,-148
2023-04-02,HOU,CHW,-146,124
2023-04-02,STL,TOR,-118,100
2023-04-02,CHC,MIL,-130,110
2023-04-02,OAK,LAA,136,-162
2023-04-02,SDP,COL,-205,172
2023-04-02,LAD,ARI,-196,164
2023-04-02,SEA,CLE,-116,-102
2023-04-02,TEX,PHI,-126,108
2023-04-03,MIL,NYM,-112,-104
2023-04-03,CHW,SFG,-134,116
2023-04-03,CIN,CHC,102,-120
2023-04-03,MIA,MIN,108,-126
2023-04-03,NYY,PHI,-174,146
2023-04-03,WSN,TBR,154,-184
2023-04-03,BOS,PIT,-154,130
2023-04-03,KCR,TOR,116,-136
2023-04-03,STL,ATL,104,-122
2023-04-04,TEX,BAL,-142,120
2023-04-04,HOU,DET,-250,205
2023-04-04,SDP,ARI,-152,128
2023-04-04,OAK,CLE,130,-154
2023-04-04,SEA,LAA,-138,118
2023-04-04,LAD,COL,-225,188
2023-04-05,NYY,PHI,-172,144
2023-04-05,WSN,TBR,225,-275
2023-04-05,MIA,MIN,100,-118
2023-04-05,STL,ATL,-126,108
2023-04-05,BOS,PIT,-154,130
2023-04-05,MIL,NYM,-136,116
2023-04-05,TEX,BAL,-198,166
2023-04-05,CHW,SFG,-134,114
2023-04-05,HOU,DET,-245,200
2023-04-05,OAK,CLE,110,-130
2023-04-05,SEA,LAA,146,-174
2023-04-05,KCR,TOR,162,-194
2023-04-06,DET,BOS,114,-144
2023-04-06,KCR,TOR,190,-230
2023-04-06,CHW,SFG,-126,108
2023-04-06,COL,WSN,-166,140
2023-04-06,ATL,SDP,-158,134
2023-04-07,ARI,LAD,136,-174
2023-04-07,NYM,MIA,-174,146
2023-04-07,CHC,TEX,-122,104
2023-04-07,BAL,NYY,108,-126
2023-04-07,PHI,CIN,-196,164
2023-04-07,MIN,HOU,-132,112
2023-04-07,CLE,SEA,-126,108
2023-04-07,PIT,CHW,110,-130
2023-04-07,SFG,KCR,-225,188
2023-04-07,TBR,OAK,-280,205
2023-04-07,ATL,SDP,-110,-106
2023-04-08,MIL,STL,-144,122
2023-04-08,COL,WSN,-120,102
2023-04-08,LAA,TOR,-600,380
2023-04-08,ARI,LAD,205,-250
2023-04-09,PHI,CIN,-215,180
2023-04-09,TBR,OAK,-320,260
2023-04-09,DET,BOS,-104,-122
2023-04-09,BAL,NYY,124,-146
2023-04-09,PIT,CHW,-146,116
2023-04-09,CLE,SEA,112,-132
2023-04-09,NYM,MIA,-124,-102
2023-04-09,MIN,HOU,102,-120
2023-04-09,MIL,STL,-160,126
2023-04-09,CHC,TEX,-138,108
2023-04-09,COL,WSN,-142,120
2023-04-09,SFG,KCR,-162,136
2023-04-09,LAA,TOR,-172,134
2023-04-09,ARI,LAD,130,-166
2023-04-09,ATL,SDP,-174,136
2023-04-08,MIN,HOU,-116,-110
2023-04-08,SFG,KCR,-172,134
2023-04-08,CHC,TEX,-126,108
2023-04-08,PHI,CIN,106,-134
2023-04-08,DET,BOS,112,-142
2023-04-08,NYM,MIA,-186,146
2023-04-08,TBR,OAK,-295,240
2023-04-08,CLE,SEA,-140,110
2023-04-08,PIT,CHW,102,-120
2023-04-08,BAL,NYY,114,-134
2023-04-08,MIL,STL,136,-162
2023-04-08,ATL,SDP,-148,126
2023-04-09,ARI,LAD,128,-164
2023-04-09,COL,WSN,-154,130
2023-04-09,LAA,TOR,-130,110
2023-04-10,MIN,CHW,-122,-104
2023-04-10,CLE,NYY,-162,136
2023-04-10,BAL,OAK,-205,156
2023-04-10,PIT,HOU,158,-188
2023-04-10,TBR,BOS,-158,134
2023-04-10,PHI,MIA,118,-138
2023-04-10,NYM,SDP,-136,116
2023-04-10,ATL,CIN,-196,164
2023-04-10,CHC,SEA,114,-146
2023-04-11,TEX,KCR,-174,146
2023-04-11,COL,STL,124,-146
2023-04-11,LAA,WSN,-255,210
2023-04-11,ARI,MIL,-146,114
2023-04-11,SFG,LAD,130,-154
2023-04-11,CLE,NYY,152,-196
2023-04-11,BAL,OAK,-205,172
2023-04-11,PIT,HOU,144,-172
2023-04-11,TBR,BOS,-178,150
2023-04-11,PHI,MIA,-152,120
2023-04-11,TOR,DET,-290,235
2023-04-11,NYM,SDP,-142,120
2023-04-11,ATL,CIN,-235,194
2023-04-11,CHC,SEA,150,-196
2023-04-11,MIN,CHW,-164,138
2023-04-12,TEX,KCR,-300,245
2023-04-12,COL,STL,144,-172
2023-04-12,LAA,WSN,-320,260
2023-04-12,ARI,MIL,108,-126
2023-04-12,SFG,LAD,-138,108
2023-04-13,BAL,OAK,-245,200
2023-04-13,TBR,BOS,-290,215
2023-04-13,CIN,PHI,-120,102
2023-04-13,NYY,MIN,-144,122
2023-04-13,TOR,DET,-240,198
2023-04-13,STL,PIT,-270,220
2023-04-14,SDP,MIL,-158,134
2023-04-12,PIT,HOU,138,-164
2023-04-12,CLE,NYY,100,-118
2023-04-12,MIN,CHW,-156,132
